cx,cy,cz,a,b,theta,Rt,Rp,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.7,-0.8,10.7,7.4,5.8,25,1.7,1.5,-5.272385456,-1.115557158,-0.132911638,-0.233826541,-1.671268718,-0.064058731,-0.29995229,-0.094668041,-0.145656994,-1.849179726,-1.424093157,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.7_cy=-0.8_cz=10.7.log
1.6,-0.8,10.7,7.4,5.8,25,1.7,1.5,-5.257828479,-0.923078505,-0.133384781,-0.243505256,-1.590409035,-0.0664759,-0.30623994,-0.098135661,-0.15218498,-1.924465866,-1.451495264,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.6_cy=-0.8_cz=10.7.log
1.7,-0.9,10.7,7.4,5.8,25,1.7,1.5,-5.253284679,-0.977425891,-0.138050945,-0.214328551,-1.696595022,-0.06746862,-0.28299948,-0.095788147,-0.142096502,-1.881170186,-1.44579559,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.7_cy=-0.9_cz=10.7.log
1.7,-0.8,10.8,7.4,5.8,25,1.7,1.5,-5.248851948,-1.285050119,-0.124280866,-0.218625739,-1.621901252,-0.0580384,-0.287921668,-0.089909005,-0.139331065,-1.840295439,-1.381407417,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.7_cy=-0.8_cz=10.8.log
1.6,-0.7,10.7,7.4,5.8,25,1.7,1.5,-5.247431893,-1.031676641,-0.128338345,-0.266243708,-1.536858586,-0.063124996,-0.324991194,-0.096903859,-0.156006516,-1.89836647,-1.420538313,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.6_cy=-0.7_cz=10.7.log
1.6,-0.7,10.8,7.4,5.8,25,1.7,1.5,-5.24177991,-1.249272008,-0.119998737,-0.248647073,-1.550224549,-0.057271583,-0.311563735,-0.091947785,-0.149087591,-1.882188007,-1.350067685,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.6_cy=-0.7_cz=10.8.log
1.6,-0.8,10.8,7.4,5.8,25,1.7,1.5,-5.238696326,-1.170117897,-0.124605916,-0.227733419,-1.581254919,-0.06024598,-0.293749981,-0.093100521,-0.145455563,-1.887654247,-1.38363194,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.6_cy=-0.8_cz=10.8.log
1.7,-0.9,10.8,7.4,5.8,25,1.7,1.5,-5.22466332,-1.181414332,-0.12897715,-0.201032869,-1.631020227,-0.061103159,-0.271800936,-0.090959457,-0.135950669,-1.849807864,-1.410270994,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.7_cy=-0.9_cz=10.8.log
1.7,-0.7,10.7,7.4,5.8,25,1.7,1.5,-5.219692186,-1.225810664,-0.127916658,-0.255712835,-1.640380166,-0.060774344,-0.317968102,-0.093507148,-0.149226271,-1.765935505,-1.396741879,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.7_cy=-0.7_cz=10.7.log
1.7,-0.7,10.8,7.4,5.8,25,1.7,1.5,-5.213137217,-1.365978828,-0.119727653,-0.23874873,-1.607812397,-0.055133029,-0.305126737,-0.088820275,-0.142721502,-1.786252396,-1.349079356,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.7_cy=-0.7_cz=10.8.log
1.6,-0.9,10.7,7.4,5.8,25,1.7,1.5,-5.209958251,-0.784649799,-0.138571778,-0.223236683,-1.638324443,-0.06994854,-0.28866966,-0.099321655,-0.148361562,-1.913010671,-1.477563912,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.6_cy=-0.9_cz=10.7.log
1.6,-0.9,10.8,7.4,5.8,25,1.7,1.5,-5.18748398,-1.066566197,-0.129342361,-0.209423932,-1.60706315,-0.063376,-0.277019309,-0.094210586,-0.141823535,-1.860915418,-1.414138966,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.6_cy=-0.9_cz=10.8.log
1.8,-0.9,10.7,7.4,5.8,25,1.7,1.5,-5.173260838,-1.133943201,-0.137321778,-0.205491955,-1.719544318,-0.065140558,-0.277159872,-0.092362569,-0.136091859,-1.799908896,-1.375596674,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.8_cy=-0.9_cz=10.7.log
1.8,-0.9,10.8,7.4,5.8,25,1.7,1.5,-5.166422235,-1.269843041,-0.128423687,-0.192737186,-1.629219273,-0.058979665,-0.266360425,-0.087800572,-0.130331944,-1.79704243,-1.37846565,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.8_cy=-0.9_cz=10.8.log
1.5,-0.7,10.8,7.4,5.8,25,1.7,1.5,-5.157104339,-1.09689752,-0.120099139,-0.25854918,-1.456183391,-0.059536894,-0.317882761,-0.095167539,-0.155697781,-1.920695158,-1.330969418,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.5_cy=-0.7_cz=10.8.log
1.8,-0.8,10.8,7.4,5.8,25,1.7,1.5,-5.146457377,-1.369261961,-0.123783878,-0.20959336,-1.632747134,-0.055966362,-0.281885022,-0.086805341,-0.133476397,-1.737529382,-1.352027398,3,Done,anthracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=1.8_cy=-0.8_cz=10.8.log
